,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,dev,test,range_from,range_to
23,0,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.782,0.765,11,12
24,1,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.789,0.776,12,13
25,2,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.793,0.77,5,6
26,3,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.805,0.796,3,4
27,4,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.824,0.811,13,14
28,5,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.795,0.778,11,12
29,6,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.841,0.829,10,11
30,7,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.853,0.833,8,9
31,8,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.898,0.878,4,5
32,9,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.91,0.888,7,8
33,10,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.918,0.891,11,12
34,11,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.924,0.892,8,9
35,12,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.923,0.894,11,12
36,13,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.924,0.897,10,11
37,14,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.92,0.893,9,10
38,15,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.918,0.887,5,6
39,16,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.919,0.884,7,8
40,17,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.917,0.883,6,7
41,18,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.913,0.882,4,5
42,19,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.9,0.868,2,3
43,20,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.876,0.853,3,4
44,21,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.794,0.795,1,2
45,22,szegedai-semantics,dutiful-cosmos-247,p1ubl0rs,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.717,0.727,0,1
46,0,szegedai-semantics,ethereal-deluge-246,fd1di0y4,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.814,0.793,1,2
47,1,szegedai-semantics,ethereal-deluge-246,fd1di0y4,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.798,0.78,4,5
48,2,szegedai-semantics,ethereal-deluge-246,fd1di0y4,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.797,0.777,1,2
49,3,szegedai-semantics,ethereal-deluge-246,fd1di0y4,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.789,0.777,1,2
50,4,szegedai-semantics,ethereal-deluge-246,fd1di0y4,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.808,0.787,1,2
51,0,szegedai-semantics,smart-waterfall-245,mqo4rybc,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.818,0.812,5,6
52,1,szegedai-semantics,smart-waterfall-245,mqo4rybc,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.826,0.816,1,2
53,2,szegedai-semantics,smart-waterfall-245,mqo4rybc,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.854,0.839,3,4
54,3,szegedai-semantics,smart-waterfall-245,mqo4rybc,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.88,0.855,2,3
55,4,szegedai-semantics,smart-waterfall-245,mqo4rybc,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,4,0.564,0.543,1,2
56,0,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.773,0.761,6,7
57,1,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.738,0.726,0,1
58,2,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.785,0.772,16,17
59,3,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.802,0.787,18,19
60,4,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.856,0.838,7,8
61,5,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.787,0.777,18,19
62,6,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.837,0.821,0,1
63,7,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.722,0.714,0,1
64,8,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.807,0.792,14,15
65,9,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.772,0.76,9,10
66,10,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.759,0.748,11,12
67,11,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.769,0.761,7,8
68,12,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.79,0.78,8,9
69,13,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.793,0.783,8,9
70,14,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.797,0.791,7,8
71,15,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.819,0.811,5,6
72,16,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.813,0.801,7,8
73,17,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.79,0.78,1,2
74,18,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.813,0.8,5,6
75,19,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.769,0.748,2,3
76,20,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.763,0.754,0,1
77,21,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.726,0.721,0,1
78,22,szegedai-semantics,neat-sponge-244,sjdpvf0k,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.764,0.753,1,2
79,0,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.769,0.757,5,6
80,1,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.791,0.775,13,14
81,2,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.942,0.918,6,7
82,3,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.726,0.709,4,5
83,4,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.777,0.758,4,5
84,5,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.829,0.814,5,6
85,6,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.827,0.809,14,15
86,7,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.848,0.835,9,10
87,8,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.845,0.816,4,5
88,9,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.891,0.866,3,4
89,10,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.903,0.874,3,4
90,11,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.911,0.877,5,6
91,12,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.911,0.881,9,10
92,13,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.911,0.882,10,11
93,14,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.909,0.876,9,10
94,15,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.911,0.881,8,9
95,16,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.907,0.876,7,8
96,17,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.905,0.874,6,7
97,18,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.9,0.864,3,4
98,19,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.896,0.865,4,5
99,20,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.871,0.836,1,2
100,21,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.764,0.762,2,3
101,22,szegedai-semantics,hardy-shadow-243,4l50sygr,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.503,0.48,1,2
102,0,szegedai-semantics,autumn-wave-242,xfaxik7u,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.787,0.767,1,2
103,1,szegedai-semantics,autumn-wave-242,xfaxik7u,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.8,0.784,1,2
104,2,szegedai-semantics,autumn-wave-242,xfaxik7u,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.793,0.774,3,4
105,3,szegedai-semantics,autumn-wave-242,xfaxik7u,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.793,0.77,2,3
106,4,szegedai-semantics,autumn-wave-242,xfaxik7u,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.771,0.755,1,2
107,0,szegedai-semantics,dainty-glade-241,956gloe1,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.814,0.797,1,2
108,1,szegedai-semantics,dainty-glade-241,956gloe1,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.864,0.851,2,3
109,2,szegedai-semantics,dainty-glade-241,956gloe1,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.873,0.853,1,2
110,3,szegedai-semantics,dainty-glade-241,956gloe1,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.806,0.795,2,3
111,4,szegedai-semantics,dainty-glade-241,956gloe1,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,3,0.55,0.532,1,2
112,0,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.676,0.564,13,14
113,1,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.66,0.571,20,21
114,2,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.661,0.609,18,19
115,3,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.68,0.603,5,6
116,4,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.659,0.584,3,4
117,5,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.666,0.569,3,4
118,6,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.649,0.534,5,6
119,7,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.67,0.554,11,12
120,8,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.675,0.554,13,14
121,9,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.639,0.529,14,15
122,10,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.644,0.534,12,13
123,11,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.629,0.509,11,12
124,12,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.588,0.498,2,3
125,13,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.576,0.503,0,1
126,14,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.511,0.441,0,1
127,15,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.499,0.43,8,9
128,16,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.447,0.37,0,1
129,17,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.37,0.3,0,1
130,18,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.264,0.179,5,6
131,19,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.183,0.163,3,4
132,20,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.175,0.109,0,1
133,21,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.11,0.096,1,2
134,22,szegedai-semantics,fresh-bee-240,iau8fk2v,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.09,0.095,1,2
135,0,szegedai-semantics,spring-aardvark-239,v0k1s0gz,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.513,0.444,5,6
136,1,szegedai-semantics,spring-aardvark-239,v0k1s0gz,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.426,0.336,2,3
137,2,szegedai-semantics,spring-aardvark-239,v0k1s0gz,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.301,0.281,1,2
138,3,szegedai-semantics,spring-aardvark-239,v0k1s0gz,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.164,0.156,2,3
139,4,szegedai-semantics,spring-aardvark-239,v0k1s0gz,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.006,0.006,0,1
140,0,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.656,0.633,10,11
141,1,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.639,0.582,9,10
142,2,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.603,0.546,9,10
143,3,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.608,0.524,8,9
144,4,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.581,0.529,6,7
145,5,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.555,0.52,3,4
146,6,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.477,0.429,5,6
147,7,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.385,0.299,2,3
148,8,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.188,0.172,1,2
149,9,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.1,0.105,1,2
150,10,szegedai-semantics,silver-disco-238,coyer1qn,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.0,0.0,1,2
151,0,szegedai-semantics,vocal-puddle-237,vw6atc75,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.614,0.57,3,4
152,1,szegedai-semantics,vocal-puddle-237,vw6atc75,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.582,0.554,8,9
153,2,szegedai-semantics,vocal-puddle-237,vw6atc75,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.56,0.519,8,9
154,3,szegedai-semantics,vocal-puddle-237,vw6atc75,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.572,0.534,8,9
155,4,szegedai-semantics,vocal-puddle-237,vw6atc75,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,4,0.557,0.509,7,8
