,entity,name,id,model,dataset,subset,initial_model,metric,seed,score
75,szegedai-semantics,zany-fog-152,asp1znm1,bert-large-uncased,conll,ner,pfdf,f1,42,0.9117059528565722
76,szegedai-semantics,cool-silence-151,z6f74wpq,distilbert-base-uncased,conll,pos,pfdf,f1,42,0.9239941137258355
77,szegedai-semantics,colorful-grass-150,mgzlvpbz,distilbert-base-uncased,conll,ner,pfdf,f1,42,0.921158514281914
78,szegedai-semantics,youthful-glade-149,kt48yfv0,distilbert-base-uncased,conll,pos,pfdf,f1,42,0.9240363096884509
79,szegedai-semantics,comfy-paper-148,uavxehr9,distilbert-base-uncased,conll,ner,pfdf,f1,42,0.9215614496322674
80,szegedai-semantics,daily-salad-147,1x82sscg,distilbert-base-uncased,conll,pos,pfdf,f1,42,0.9247901750324018
81,szegedai-semantics,fearless-lion-146,7pcm3edr,distilbert-base-uncased,conll,ner,pfdf,f1,42,0.9207479371839233
82,szegedai-semantics,light-bee-145,t96zufaz,distilbert-base-uncased,conll,pos,pfdf,f1,42,0.9236589412297018
83,szegedai-semantics,leafy-frost-144,4ety1c29,distilbert-base-uncased,conll,ner,pfdf,f1,42,0.9204016491554728
84,szegedai-semantics,proud-paper-143,0g03fvv2,distilbert-base-uncased,conll,pos,pfdf,f1,42,0.9247306420588124
85,szegedai-semantics,fluent-firebrand-142,w0oqrrn8,distilbert-base-uncased,conll,ner,pfdf,f1,42,0.9192947438456421
86,szegedai-semantics,flowing-galaxy-131,79rghb7p,bert-large-uncased,glue,rte,pfdf,accuracy,42,0.5899280575539568
87,szegedai-semantics,gallant-plant-130,1i7v6icp,bert-base-uncased,conll,pos,pfdf,f1,42,0.9264900079232327
88,szegedai-semantics,gentle-leaf-129,so1uh2tb,bert-base-uncased,conll,ner,pfdf,f1,42,0.9273060884070059
89,szegedai-semantics,vivid-eon-128,zqrxwfjo,bert-base-uncased,conll,pos,pfdf,f1,42,0.9262445601589817
90,szegedai-semantics,golden-mountain-127,qgxuobre,bert-large-uncased,glue,mrpc,pfdf,f1,42,0.8714285714285714
91,szegedai-semantics,pleasant-star-126,340cpgqh,bert-base-uncased,conll,ner,pfdf,f1,42,0.9249842124505601
92,szegedai-semantics,glad-lion-125,a179np4j,bert-base-uncased,conll,pos,pfdf,f1,42,0.9246795073408229
93,szegedai-semantics,crisp-yogurt-124,f1fiqx0e,bert-base-uncased,conll,ner,pfdf,f1,42,0.9218251859723698
94,szegedai-semantics,visionary-grass-123,p6lsa6ki,bert-large-uncased,glue,cola,pfdf,matthews_correlation,42,0.5836271696201529
95,szegedai-semantics,cool-violet-122,l9ge9ta2,bert-base-uncased,conll,pos,pfdf,f1,42,0.9252774600620907
96,szegedai-semantics,sandy-durian-121,o4m9rgyd,bert-base-uncased,conll,ner,pfdf,f1,42,0.925993558883097
97,szegedai-semantics,blooming-surf-120,yqfl2oc8,bert-base-uncased,conll,pos,pfdf,f1,42,0.9248511343936082
98,szegedai-semantics,volcanic-capybara-119,aomc8g0q,distilbert-base-uncased,glue,rte,pfdf,accuracy,42,0.5755395683453237
99,szegedai-semantics,drawn-feather-118,ftfd0e3z,distilbert-base-uncased,glue,mrpc,pfdf,f1,42,0.8859060402684563
100,szegedai-semantics,lyric-sound-117,2c10vm5k,distilbert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.49634602504461023
101,szegedai-semantics,dark-salad-116,adicx2qt,distilbert-base-uncased,glue,rte,pfdf,accuracy,42,0.5323741007194245
102,szegedai-semantics,rose-wood-115,0mj9hxoj,distilbert-base-uncased,glue,mrpc,pfdf,f1,42,0.8659793814432989
103,szegedai-semantics,distinctive-shape-114,pjnfloyb,distilbert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.47744507747319415
104,szegedai-semantics,sleek-violet-113,6f19v9fr,distilbert-base-uncased,glue,rte,pfdf,accuracy,42,0.6330935251798561
105,szegedai-semantics,lucky-plasma-112,zz448i5w,distilbert-base-uncased,glue,mrpc,pfdf,f1,42,0.8707482993197279
106,szegedai-semantics,celestial-frog-111,mjl7sg36,distilbert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.45556628867377186
107,szegedai-semantics,sweet-smoke-110,kup3gecw,distilbert-base-uncased,glue,rte,pfdf,accuracy,42,0.5467625899280576
108,szegedai-semantics,helpful-tree-109,o49qmrbk,distilbert-base-uncased,glue,mrpc,pfdf,f1,42,0.8733333333333334
109,szegedai-semantics,wild-sun-108,z01dlhzi,distilbert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.4834355669596828
110,szegedai-semantics,generous-frog-107,4djbg2d3,distilbert-base-uncased,glue,rte,pfdf,accuracy,42,0.5683453237410072
111,szegedai-semantics,daily-vortex-106,dorjdd0e,distilbert-base-uncased,glue,mrpc,pfdf,f1,42,0.8778877887788779
112,szegedai-semantics,wise-smoke-105,kyorv1sn,distilbert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.4669928966000047
113,szegedai-semantics,sage-fire-101,c4wp769u,bert-base-uncased,conll,ner,pfdf,f1,42,0.922725466825586
114,szegedai-semantics,silvery-butterfly-98,i4wvihyl,bert-large-uncased,glue,rte,pfdf,accuracy,42,0.6187050359712231
115,szegedai-semantics,polar-deluge-63,gy9rf1v7,roberta-base,glue,rte,pfdf,accuracy,42,0.7122302158273381
116,szegedai-semantics,atomic-armadillo-62,zlx8egc9,roberta-base,glue,mrpc,pfdf,f1,42,0.9181494661921707
117,szegedai-semantics,neat-jazz-61,ifczrae9,roberta-base,glue,cola,pfdf,matthews_correlation,42,0.5689440261925509
118,szegedai-semantics,absurd-durian-60,6rhweg4e,roberta-base,glue,rte,pfdf,accuracy,42,0.6258992805755396
119,szegedai-semantics,clear-universe-59,u7qhpn9z,roberta-base,glue,mrpc,pfdf,f1,42,0.9198606271777003
120,szegedai-semantics,comic-frost-58,23tstjrp,bert-large-uncased,glue,mrpc,pfdf,f1,42,0.8686131386861314
121,szegedai-semantics,fast-wood-57,vstg3baz,roberta-base,glue,cola,pfdf,matthews_correlation,42,0.622515354131773
122,szegedai-semantics,woven-aardvark-56,uc4f830e,roberta-base,glue,rte,pfdf,accuracy,42,0.7050359712230215
123,szegedai-semantics,revived-flower-55,324qsd5v,roberta-base,glue,mrpc,pfdf,f1,42,0.9090909090909091
124,szegedai-semantics,iconic-capybara-54,clwlahul,roberta-base,glue,cola,pfdf,matthews_correlation,42,0.5369563718103444
125,szegedai-semantics,eternal-snow-53,qntfjezx,roberta-base,glue,rte,pfdf,accuracy,42,0.6834532374100719
126,szegedai-semantics,blooming-paper-52,iueu3mnd,roberta-base,glue,mrpc,pfdf,f1,42,0.9037037037037037
127,szegedai-semantics,feasible-sun-51,v4240ved,roberta-base,glue,cola,pfdf,matthews_correlation,42,0.5545058061058279
128,szegedai-semantics,swift-wave-50,yqx3h633,roberta-base,glue,rte,pfdf,accuracy,42,0.7050359712230215
129,szegedai-semantics,true-shape-49,bnywxil5,roberta-base,glue,mrpc,pfdf,f1,42,0.9071428571428571
130,szegedai-semantics,deep-frost-48,ygh8vnvl,roberta-base,glue,cola,pfdf,matthews_correlation,42,0.5503313694543926
131,szegedai-semantics,peachy-durian-47,r9lyy4uk,bert-large-uncased,glue,cola,pfdf,matthews_correlation,42,0.5982407849411302
132,szegedai-semantics,firm-forest-15,h1miz8sz,bert-base-uncased,glue,rte,pfdf,accuracy,42,0.7338129496402878
133,szegedai-semantics,treasured-pine-14,g387dg7h,bert-base-uncased,glue,mrpc,pfdf,f1,42,0.8620689655172413
134,szegedai-semantics,glad-gorge-13,iqlyd0h1,bert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.5341576024368391
135,szegedai-semantics,splendid-moon-12,fs6k2hh9,bert-base-uncased,glue,rte,pfdf,accuracy,42,0.7194244604316546
136,szegedai-semantics,giddy-waterfall-11,b0tr8opy,bert-base-uncased,glue,mrpc,pfdf,f1,42,0.8776978417266188
137,szegedai-semantics,dauntless-cosmos-10,9swz8rjy,bert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.5331825380893953
138,szegedai-semantics,drawn-capybara-9,idtdx0ht,bert-base-uncased,glue,rte,pfdf,accuracy,42,0.6906474820143885
139,szegedai-semantics,icy-universe-8,jczryng4,bert-base-uncased,glue,mrpc,pfdf,f1,42,0.8936170212765958
140,szegedai-semantics,olive-butterfly-7,c29tz8yh,bert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.56912277789212
141,szegedai-semantics,stellar-totem-6,yhgx53ev,bert-base-uncased,glue,rte,pfdf,accuracy,42,0.7194244604316546
142,szegedai-semantics,chocolate-galaxy-5,xseqd57l,bert-base-uncased,glue,mrpc,pfdf,f1,42,0.8912280701754385
143,szegedai-semantics,easy-paper-4,fbzz90yp,bert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.5439244245160052
144,szegedai-semantics,lunar-meadow-3,eud09dlp,bert-base-uncased,glue,rte,pfdf,accuracy,42,0.6187050359712231
145,szegedai-semantics,swift-gorge-2,3qxc7q15,bert-base-uncased,glue,mrpc,pfdf,f1,42,0.8819444444444444
146,szegedai-semantics,ruby-planet-1,r781w087,bert-base-uncased,glue,cola,pfdf,matthews_correlation,42,0.5187377473149469
